dia;mes;año ;hora costo marginal;
19;1;2015;15;161.95
19;1;2015;16;158.57
19;1;2015;17;158.53
19;1;2015;18;158.54
19;1;2015;19;89.22
19;1;2015;20;89.22
19;1;2015;21;89.22
19;1;2015;22;89.22
19;1;2015;23;77.85
19;1;2015;24;76.26
20;1;2015;1;76.47
20;1;2015;2;71.99
20;1;2015;3;72.6
20;1;2015;4;72.93
20;1;2015;5;69.59
20;1;2015;6;72.02
20;1;2015;7;88.98
20;1;2015;8;88.98
20;1;2015;9;158.52
20;1;2015;10;158.51
20;1;2015;11;158.5
20;1;2015;12;158.53
20;1;2015;13;158.52
20;1;2015;14;158.52
20;1;2015;15;158.52
20;1;2015;16;158.54
20;1;2015;17;89.22
20;1;2015;18;89.22
20;1;2015;19;89.22
20;1;2015;20;89.22
20;1;2015;21;89.22
20;1;2015;22;89.22
20;1;2015;23;89.22
20;1;2015;24;88.98
21;1;2015;1;72.52
21;1;2015;2;72.85
21;1;2015;3;71.91
21;1;2015;4;72.65
21;1;2015;5;70.54
21;1;2015;6;70.23
21;1;2015;7;74.54
21;1;2015;8;89.22
21;1;2015;9;158.52
21;1;2015;10;173.57
21;1;2015;11;158.55
21;1;2015;12;166.79
21;1;2015;13;161.95
21;1;2015;14;161.95
21;1;2015;15;161.95
21;1;2015;16;160.66
21;1;2015;17;172.67
21;1;2015;18;89.22
21;1;2015;19;89.22
21;1;2015;20;88.98
21;1;2015;21;89.22
21;1;2015;22;89.22
21;1;2015;23;86.13
21;1;2015;24;73.43
22;1;2015;1;73.78
22;1;2015;2;72.56
22;1;2015;3;72.41
22;1;2015;4;73.61
22;1;2015;5;70.53
22;1;2015;6;70.67
22;1;2015;7;72.01
22;1;2015;8;88.98
22;1;2015;9;158.51
22;1;2015;10;158.48
22;1;2015;11;158.52
22;1;2015;12;161.95
22;1;2015;13;166.57
22;1;2015;14;161.95
22;1;2015;15;161.95
22;1;2015;16;165.04
22;1;2015;17;158.54
22;1;2015;18;88.98
22;1;2015;19;88.98
22;1;2015;20;88.98
22;1;2015;21;88.98
22;1;2015;22;88.98
22;1;2015;23;78.19
22;1;2015;24;75.61
23;1;2015;1;77.34
23;1;2015;2;74.34
23;1;2015;3;70.91
23;1;2015;4;70.1
23;1;2015;5;72.03
23;1;2015;6;69.97
23;1;2015;7;71.07
23;1;2015;8;88.98
23;1;2015;9;158.53
23;1;2015;10;169.07
23;1;2015;11;158.52
23;1;2015;12;158.53
23;1;2015;13;158.54
23;1;2015;14;161.98
23;1;2015;15;161.98
23;1;2015;16;158.52
23;1;2015;17;158.55
23;1;2015;18;89.22
23;1;2015;19;89.22
23;1;2015;20;89.22
23;1;2015;21;85.96
23;1;2015;22;76.9
23;1;2015;23;75.51
23;1;2015;24;76.77
24;1;2015;1;73.59
24;1;2015;2;72.23
24;1;2015;3;72.82
24;1;2015;4;73.73
24;1;2015;5;74.14
24;1;2015;6;73.64
24;1;2015;7;73.19
24;1;2015;8;89.22
24;1;2015;9;89.22
24;1;2015;10;89.22
24;1;2015;11;89.22
24;1;2015;12;89.22
24;1;2015;13;89.22
24;1;2015;14;89.22
24;1;2015;15;89.22
